GroupName, GroupOrder, E(G)value, E(G)value_decimal
S3,6,12/5,2.3999999999999999
S4,24,66/23,2.8695652173913042
S5,120,470/119,3.9495798319327733
S6,720,3270/719,4.5479833101529898
S7,5040,31332/5039,6.2179003770589398
S8,40320,299222/40319,7.4213646171780052
S9,362880,299226/32989,9.0704780381339241
S10,3628800,39020910/3628799,10.753119696075753
S11,39916800,2461360/180619,13.627359247919655
S12,479001600,7466726982/479001599,15.588104502340085
S13,6227020800,118551513522/6227020799,19.038239528770845
S14,87178291200,1917378505406/87178291199,21.993761050319758
S15,1307674368000,32405299019940/1307674367999,24.780862738425093
S16,20922789888000,608246253790590/20922789887999,29.070991825018087
S17,355687428096000,12219834139189262/355687428095999,34.355541337522808
S18,6402373705728000,253767339725277822/6402373705727999,39.636446010366484
S19,121645100408832000,5591088918313739016/121645100408831999,45.962302628900623
S20,2432902008176640000,126036990829657056710/2432902008176639999,51.805206459637311
S21,51090942171709440000,128546249809190973270/2221345311813453913,57.868647943011091
S22,1124000727777607680000,74190017629329241092222/1124000727777607679999,66.005311025037273
S23,25852016738884976640000,1965321944810440605193772/25852016738884976639999,76.021997226016296
S24,620448401733239439360000,53439499039059154520966766/620448401733239439359999,86.130448381806559
S25,15511210043330985984000000,1491721729495014767541555270/15511210043330985983999999,96.170558281903837
S26,403291461126605635584000000,43611452194141782700948754270/403291461126605635583999999,108.13879389440085
S27,10888869450418352160768000000,1308199256915117829237028942512/10888869450418352160767999999,120.14096255556234
S28,304888344611713860501504000000,40871467844496156740863101996822/304888344611713860501503999999,134.05388748640891
S29,8841761993739701954543616000000,1334181474884034593427977125133906/8841761993739701954543615999999,150.89542964724507
S30,265252859812191058636308480000000,45121443207157744404094764295367070/265252859812191058636308479999999,170.10728268530417
S31,8222838654177922817725562880000000,1558266604595626796283748491858304020/8222838654177922817725562879999999,189.50470392653162
S32,263130836933693530167218012160000000,54834955961570696145094370005700363582/263130836933693530167218012159999999,208.39425967922028
S33,8683317618811886495518194401280000000,1981666259166295791521094323568937891422/8683317618811886495518194401279999999,228.21533728918715
S34,295232799039604140847618609643520000000,74961202726762756817494860772434985993086/295232799039604140847618609643519999999,253.9054026876839
S35,10333147966386144929666651337523200000000,2880513261233308407666047267637981571511960/10333147966386144929666651337523199999999,278.76434854157253
