GroupName, GroupOrder, AvgElementOrder
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
(C2 x C2 x D8) : C2, 64, 191/64
C2 x C2 x ((C4 x C2) : C2), 64, 191/64
C2 x ((C4 x C2 x C2) : C2), 64, 191/64
(C2 x C2 x D8) : C2, 64, 191/64
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
C4 x C2 x C2 x C2 x C2, 64, 191/64
C2 x C2 x ((C4 x C2) : C2), 64, 191/64
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
C2 x ((C2 x C2 x D8) : C2), 128, 383/128
(C2 x C2 x C2 x D8) : C2, 128, 383/128
(C2 x C2 x C2 x D8) : C2, 128, 383/128
C2 x C2 x C2 x ((C4 x C2) : C2), 128, 383/128
C2 x C2 x ((C4 x C2 x C2) : C2), 128, 383/128
C2 x ((C2 x C2 x D8) : C2), 128, 383/128
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
(C2 x ((C2 x C2 x C2 x C2) : C2)) : C2, 128, 383/128
((C2 x ((C4 x C2) : C2)) : C2) : C2, 128, 383/128
C4 x C2 x C2 x C2 x C2 x C2, 128, 383/128
C2 x C2 x C2 x ((C4 x C2) : C2), 128, 383/128
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
(C3 x ((C3 x C3) : C3)) : C3, 243, 727/243
C3 x C3 x ((C3 x C3) : C3), 243, 727/243
(C3 x ((C3 x C3) : C3)) : C3, 243, 727/243
C3 x C3 x C3 x C3 x C3, 243, 727/243
(C2 x ((C2 x ((C4 x C2) : C2)) : C2)) : C2, 256, 767/256
C2 x C2 x ((C2 x ((C4 x C2) : C2)) : C2), 256, 767/256
C2 x C2 x ((C2 x C2 x D8) : C2), 256, 767/256
C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2), 256, 767/256
C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2), 256, 767/256
C2 x C2 x C2 x C2 x ((C4 x C2) : C2), 256, 767/256
C2 x C2 x C2 x ((C4 x C2 x C2) : C2), 256, 767/256
C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2), 256, 767/256
C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2), 256, 767/256
C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2), 256, 767/256
C2 x ((((C4 x C4) : C2) : C2) : C2), 256, 767/256
C4 x C2 x C2 x C2 x C2 x C2 x C2, 256, 767/256
C2 x C2 x C2 x C2 x ((C4 x C2) : C2), 256, 767/256
C2 x C2 x ((C2 x ((C4 x C2) : C2)) : C2), 256, 767/256
(C2 x ((C2 x ((C4 x C2) : C2)) : C2)) : C2, 256, 767/256
