GroupName, GroupOrder, E(G)value, E(G)value_decimal
C_2,2,2,2.
C_4,4,10/3,3.3333333333333335
C_8,8,6,6.
C_16,16,34/3,11.333333333333334
C_32,32,22,22.
C_64,64,130/3,43.333333333333336
C_128,128,86,86.
C_256,256,514/3,171.33333333333334
C_512,512,342,342.
C_1024,1024,2050/3,683.33333333333337
C_5,5,5,5.
C_25,25,65/3,21.666666666666668
C_125,125,105,105.
C_625,625,1565/3,521.66666666666663
C_3125,3125,2605,2605.
C_15625,15625,39065/3,13021.666666666666
C_78125,78125,65105,65105.
C_390625,390625,976565/3,325521.66666666669
C_1953125,1953125,1627605,1627605.
