GroupName, GroupOrder, E(G)value, E(G)value_decimal
S3,6,12/5,2.3999999999999999
S4,8,18/7,2.5714285714285716
S5,10,10/3,3.3333333333333335
S6,12,32/11,2.9090909090909092
S7,14,56/13,4.3076923076923075
S8,16,58/15,3.8666666666666667
S9,18,78/17,4.5882352941176467
S10,20,82/19,4.3157894736842106
S11,22,44/7,6.2857142857142856
S12,24,100/23,4.3478260869565215
S13,26,182/25,7.2800000000000002
S14,28,52/9,5.7777777777777777
S15,30,176/29,6.068965517241379
S16,32,202/31,6.5161290322580649
S17,34,102/11,9.2727272727272734
S18,36,218/35,6.2285714285714286
S19,38,380/37,10.27027027027027
S20,40,90/13,6.9230769230769234
S21,42,342/41,8.3414634146341466
S22,44,376/43,8.7441860465116275
S23,46,184/15,12.266666666666667
S24,48,348/47,7.4042553191489358
S25,50,570/49,11.63265306122449
S26,52,174/17,10.235294117647058
S27,54,600/53,11.320754716981131
S28,56,48/5,9.5999999999999996
S29,58,290/19,15.263157894736842
S30,60,500/59,8.4745762711864412
S31,62,992/61,16.262295081967213
S32,64,746/63,11.841269841269842
S33,66,842/65,12.953846153846154
S34,68,886/67,13.223880597014926
S35,70,324/23,14.086956521739131
S36,72,742/71,10.450704225352112
S37,74,1406/73,19.260273972602739
S38,76,368/25,14.720000000000001
S39,78,168/11,15.272727272727273
S40,80,982/79,12.430379746835444
S41,82,574/27,21.25925925925926
S42,84,986/83,11.879518072289157
S43,86,1892/85,22.258823529411764
S44,88,436/29,15.03448275862069
S45,90,1370/89,15.393258426966293
S46,92,124/7,17.714285714285715
S47,94,752/31,24.258064516129032
S48,96,68/5,13.6
S49,98,2198/97,22.659793814432991
S50,100,554/33,16.787878787878789
S51,102,2012/101,19.920792079207921
S52,104,1830/103,17.766990291262136
S53,106,954/35,27.257142857142856
S54,108,1748/107,16.33644859813084
S55,110,2440/109,22.38532110091743
S56,112,1960/111,17.657657657657658
S57,114,2514/113,22.247787610619469
S58,116,2554/115,22.208695652173912
S59,118,1180/39,30.256410256410255
S60,120,248/17,14.588235294117647
S61,122,3782/121,31.256198347107439
S62,124,972/41,23.707317073170731
S63,126,2748/125,21.984000000000002
S64,128,2858/127,22.503937007874015
S65,130,1142/43,26.558139534883722
S66,132,2462/131,18.793893129770993
S67,134,4556/133,34.255639097744364
S68,136,1046/45,23.244444444444444
S69,138,3686/137,26.905109489051096
S70,140,2848/139,20.489208633093526
S71,142,1704/47,36.255319148936174
S72,144,2766/143,19.342657342657343
S73,146,5402/145,37.255172413793105
S74,148,1382/49,28.204081632653061
S75,150,3796/149,25.476510067114095
S76,152,3924/151,25.986754966887418
S77,154,1642/51,32.196078431372548
S78,156,3452/155,22.270967741935483
S79,158,6320/157,40.254777070063696
S80,160,1250/53,23.584905660377359
