GroupName, GroupOrder, E(G)value, E(G)value_decimal, o(G)value, o(G)value_decimal
C_2,2,2,2.,3/2,1.5
C_4,4,10/3,3.3333333333333335,11/4,2.75
C_8,8,6,6.,43/8,5.375
C_16,16,34/3,11.333333333333334,171/16,10.6875
C_32,32,22,22.,683/32,21.34375
C_64,64,130/3,43.333333333333336,2731/64,42.671875
C_5,5,5,5.,21/5,4.2000000000000002
C_25,25,65/3,21.666666666666668,521/25,20.84
C_125,125,105,105.,13021/125,104.16800000000001
C_625,625,1565/3,521.66666666666663,325521/625,520.83360000000005
C_3125,3125,2605,2605.,8138021/3125,2604.1667200000002
C_15625,15625,39065/3,13021.666666666666,203450521/15625,13020.833343999999
C_7,7,7,7.,43/7,6.1428571428571423
C_49,49,175/4,43.75,2101/49,42.877551020408163
C_343,343,301,301.,102943/343,300.1253644314869
C_2401,2401,8407/4,2101.75,5044201/2401,2100.8750520616409
C_16807,16807,14707,14707.,247165843/16807,14706.125007437377
C_117649,117649,411775/4,102943.75,12111126301/117649,102942.87500106248
C_11,11,11,11.,111/11,10.090909090909092
C_121,121,671/6,111.83333333333333,13421/121,110.91735537190083
C_1331,1331,1221,1221.,1623931/1331,1220.0833959429001
C_14641,14641,80531/6,13421.833333333334,196495641/14641,13420.916672358444
C_161051,161051,147631,147631.,23775972551/161051,147630.08333385075
C_1771561,1771561,9743591/6,1623931.8333333333,2876892678661/1771561,1623930.9166667138
C_13,13,13,13.,157/13,12.076923076923078
C_169,169,1105/7,157.85714285714286,26521/169,156.92899408284023
C_2197,2197,2041,2041.,4482037/2197,2040.0714610832954
C_28561,28561,185653/7,26521.857142857141,757464241/28561,26520.928573929486
C_371293,371293,344773,344773.,128011456717/371293,344772.0714287638
C_4826809,4826809,31374265/7,4482037.8571428573,21633936185161/4826809,4482036.9285714431
