GroupName, GroupOrder, E(G)value, E(G)value_decimal
PSL2_2,6,12/5,2.3999999999999999
PSL2_4,60,210/59,3.5593220338983049
PSL2_8,504,3318/503,6.5964214711729623
PSL2_16,4080,53006/4079,12.99485167933317
PSL2_32,32736,877982/32735,26.820895066442645
PSL2_64,262080,12106686/262079,46.194796225565575
PSL2_128,2097024,234948222/2097023,112.03893424154145
PSL2_256,16776960,3467698430/16776959,206.69409932992028
PSL2_512,134217216,54230916606/134217215,404.05335936973512
PSL2_1024,1073740800,827442598910/1073740799,770.61670719843812
PSL2_3,12,30/11,2.7272727272727271
PSL2_5,60,210/59,3.5593220338983049
PSL2_5,60,210/59,3.5593220338983049
PSL2_7,168,714/167,4.2754491017964069
PSL2_7,168,714/167,4.2754491017964069
PSL2_11,660,3740/659,5.6752655538694992
PSL2_11,660,3740/659,5.6752655538694992
PSL2_11,660,3740/659,5.6752655538694992
PSL2_11,660,3740/659,5.6752655538694992
PSL2_13,1092,7280/1091,6.672777268560953
