GroupName, GroupOrder, E(G)value, E(G)value_decimal
PSL2_2,6,12/5,2.3999999999999999
PSL2_5,60,210/59,3.5593220338983049
PSL2_7,168,714/167,4.2754491017964069
PSL2_11,660,3740/659,5.6752655538694992
PSL2_13,1092,7280/1091,6.672777268560953
PSL2_17,2448,19482/2447,7.9615856150388229
PSL2_19,3420,28842/3419,8.4357999415033635
PSL2_23,6072,61732/6071,10.168341294679625
PSL2_29,12180,139316/12179,11.439034403481402
PSL2_31,14880,181226/14879,12.179985214060085
PSL2_37,25308,406334/25307,16.056189986960131
PSL2_41,34440,512910/34439,14.893289584482709
PSL2_43,39732,663060/39731,16.688731720822531
PSL2_47,51888,90804/4717,19.250370998516004
PSL2_53,74412,1573782/74411,21.149856875999514
PSL2_59,102660,2395400/102659,23.333560623033538
PSL2_61,113460,2760860/113459,24.333547801408439
PSL2_67,150348,3877022/150347,25.787159038757007
PSL2_71,178920,4328302/178919,24.191405049212214
PSL2_73,194472,5699110/194471,29.305706249260815
PSL2_79,246480,6741702/246479,27.352034047525347
PSL2_83,285852,9358250/285851,32.738209766626667
PSL2_89,352440,10603460/352439,30.085943950584355
PSL2_97,456288,16374764/456287,35.886983411756198
PSL2_101,515100,18721562/515099,36.345560756281799
PSL2_103,546312,20389262/546311,37.321712357979244
PSL2_107,612468,26449544/612467,43.185255695408898
PSL2_109,647460,24841100/647459,38.367062624814857
PSL2_113,721392,28532952/721391,39.552686407232692
PSL2_127,1024128,45202602/1024127,44.137691907351332
PSL2_131,1123980,50585126/1123979,45.005401346466435
PSL2_137,1285608,64002290/1285607,49.783713063167824
PSL2_139,1342740,63179948/1342739,47.053037112946001
PSL2_149,1653900,88186246/1653899,53.320212419258972
PSL2_151,1721400,88002196/1721399,51.122485838553409
PSL2_157,1934868,120209876/1934867,62.128237238011707
PSL2_163,2165292,135076470/2165291,62.382594302567185
PSL2_167,2328648,146011774/2328647,62.702407878909945
PSL2_173,2588772,171409784/2588771,66.212802909179686
PSL2_179,2867580,17555962/260689,67.344467929218339
PSL2_181,2964780,179168642/2964779,60.432376915783607
PSL2_191,3483840,225756652/3483839,64.801115091713484
PSL2_193,3594432,269207980/3594431,74.895854169964593
PSL2_197,3822588,261254702/3822587,68.344998295656836
PSL2_199,3940200,255490130/3940199,64.841935648427906
PSL2_211,4696860,333968690/4696859,71.10468719627309
PSL2_223,5544672,426099480/5544671,76.848469458332147
PSL2_227,5848428,523947326/5848427,89.587734616504576
PSL2_229,6004380,479597906/6004379,79.874689122721932
PSL2_233,6324552,515237094/6324551,81.466193252295696
PSL2_239,6825840,530044640/6825839,77.652672440706553
PSL2_241,6998640,586401200/6998639,83.787890759903462
PSL2_251,7906500,674442020/7906499,85.30223301109632
PSL2_257,8487168,795140010/8487167,93.687329352656775
PSL2_263,9095592,903840002/9095591,99.371223046418862
PSL2_269,9732420,915316616/9732419,94.048213090702319
PSL2_271,9951120,872664986/9951119,87.6951613180387
PSL2_277,10626828,1164407726/10626827,109.57247407904542
PSL2_281,11093880,1011311132/11093879,91.159380050927183
PSL2_283,11332452,1226114480/11332451,108.19499506329214
PSL2_293,12576732,1333476402/12576731,106.02726590876436
PSL2_307,14467068,1488738170/14467067,102.90532075368145
PSL2_311,15039960,1561269760/15039959,103.80811277477552
PSL2_313,15331992,1820575768/15331991,118.74359748841491
PSL2_317,15927348,1930264988/15927347,121.19187131416173
PSL2_331,18132180,2048001596/18132179,112.94845456798105
PSL2_337,19136208,2276814462/19136207,118.9794018218971
