GroupName, GroupOrder, E(G)value, E(G)value_decimal
PSL2_2,6,12/5,2.3999999999999999
PSL2_4,60,210/59,3.5593220338983049
PSL2_8,504,3318/503,6.5964214711729623
PSL2_16,4080,53006/4079,12.99485167933317
PSL2_32,32736,877982/32735,26.820895066442645
PSL2_64,262080,12106686/262079,46.194796225565575
PSL2_128,2097024,234948222/2097023,112.03893424154145
PSL2_5,60,210/59,3.5593220338983049
PSL2_25,7800,74620/7799,9.5678933196563669
PSL2_125,976500,42385620/976499,43.405697292060722
PSL2_625,122070000,28289328120/122069999,231.74677112924363
