GroupName, GroupOrder, AvgElementOrder
(C4 x C2) : C2, 16, 47/16
C4 x C2 x C2, 16, 47/16
(C4 x C2) : C2, 16, 47/16
C2 x C2 x S3, 24, 73/24
(C3 x C3) : C3, 27, 79/27
C3 x C3 x C3, 27, 79/27
C2 x ((C4 x C2) : C2), 32, 95/32
(C4 x C2 x C2) : C2, 32, 95/32
C4 x C2 x C2 x C2, 32, 95/32
C2 x ((C4 x C2) : C2), 32, 95/32
C2 x ((C3 x C3) : C2), 36, 37/12
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
(C2 x C2 x D8) : C2, 64, 191/64
C2 x C2 x ((C4 x C2) : C2), 64, 191/64
C2 x ((C4 x C2 x C2) : C2), 64, 191/64
(C2 x C2 x D8) : C2, 64, 191/64
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
C4 x C2 x C2 x C2 x C2, 64, 191/64
C2 x C2 x ((C4 x C2) : C2), 64, 191/64
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64
C3 x ((C3 x C3) : C3), 81, 241/81
C3 x C3 x C3 x C3, 81, 241/81
((C2 x C2 x C2 x C2) : C3) : C2, 96, 295/96
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
C2 x ((C2 x C2 x D8) : C2), 128, 383/128
(C2 x C2 x C2 x D8) : C2, 128, 383/128
(C2 x C2 x C2 x D8) : C2, 128, 383/128
C2 x C2 x C2 x ((C4 x C2) : C2), 128, 383/128
C2 x C2 x ((C4 x C2 x C2) : C2), 128, 383/128
C2 x ((C2 x C2 x D8) : C2), 128, 383/128
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
(C2 x ((C2 x C2 x C2 x C2) : C2)) : C2, 128, 383/128
((C2 x ((C4 x C2) : C2)) : C2) : C2, 128, 383/128
C4 x C2 x C2 x C2 x C2 x C2, 128, 383/128
C2 x C2 x C2 x ((C4 x C2) : C2), 128, 383/128
C2 x ((C2 x ((C4 x C2) : C2)) : C2), 128, 383/128
(((C2 x C2 x C2 x C2) : C2) : C2) : C3, 192, 583/192
(C3 x ((C3 x C3) : C3)) : C3, 243, 727/243
C3 x C3 x ((C3 x C3) : C3), 243, 727/243
(C3 x ((C3 x C3) : C3)) : C3, 243, 727/243
C3 x C3 x C3 x C3 x C3, 243, 727/243
(C2 x ((C2 x ((C4 x C2) : C2)) : C2)) : C2, 256, 767/256
