GroupName, GroupOrder, E(G)o(G)value, E(G)o(G)value_decimal
A3,3,3,3.
A4,12,30/11,2.7272727272727271
A5,60,210/59,3.5593220338983049
A6,360,1410/359,3.9275766016713094
A7,2520,12600/2519,5.0019849146486699
A8,20160,137046/20159,6.7982538816409548
A9,181440,1516830/181439,8.3599997795402317
A10,1814400,584250/58529,9.9822310307710715
A11,19958400,223179000/19958399,11.182209554984846
A12,239500800,2973194070/239500799,12.414130067265454
A13,3113510400,46287964866/3113510399,14.866809142781989
A14,43589145600,835826439630/43589145599,19.175104906143769
A15,653837184000,15722804528340/653837183999,24.046972110359583
A16,10461394944000,292673102609790/10461394943999,27.976489194462246
A17,177843714048000,5177400032329230/177843714047999,29.112077759081657
A18,3201186852864000,102538737981192606/3201186852863999,32.031475416517623
A19,60822550204416000,2284570602107946600/60822550204415999,37.561243230180708
A20,1216451004088320000,52889947305486263430/1216451004088319999,43.478896501158388
A21,25545471085854720000,1383094776042177419130/25545471085854719999,54.142465073115751
A22,562000363888803840000,35473249250584211527230/562000363888803839999,63.119619718970277
A23,12926008369442488320000,857709203012167441790316/12926008369442488319999,66.355303083341667
A24,310224200866619719680000,21786229199389181726087790/310224200866619719679999,70.227368266333698
A25,7755605021665492992000000,635784417194835546472448070/7755605021665492991999999,81.977410584829244
A26,201645730563302817792000000,19904777024707624744412879070/201645730563302817791999999,98.71162146157566
A27,5444434725209176080384000000,617906446172336505164206639920/5444434725209176080383999999,113.4932233297363
A28,152444172305856930250752000000,18764546046100828555682054273046/152444172305856930250751999999,123.091265230215
A29,4420880996869850977271808000000,580200572936007608549547778688850/4420880996869850977271807999999,131.24093893203894
A30,132626429906095529318154240000000,18515776977863183256594835249879710/132626429906095529318154239999999,139.6085002889171
A31,4111419327088961408862781440000000,647190075462131407299528038372151060/4111419327088961408862781439999999,157.41281148288181
A32,131565418466846765083609006080000000,24574469435804129556604149857002079550/131565418466846765083609006079999999,186.78517289858098
A33,4341658809405943247759097200640000000,937930580391636534491411569771363415646/4341658809405943247759097200639999999,216.03046705551029
A34,147616399519802070423809304821760000000,35336873880561799692194553805512338613630/147616399519802070423809304821759999999,239.38311729261162
A35,5166573983193072464833325668761600000000,1332487486219741662699734292146395659394200/5166573983193072464833325668761599999999,257.90543028210561
AoG3,3,7/3,2.333333333333333
AoG4,12,31/12,2.583333333333333
AoG5,60,211/60,3.5166666666666666
AoG6,360,1411/360,3.9194444444444447
AoG7,2520,12601/2520,5.000396825396825
AoG8,20160,137047/20160,6.7979662698412699
AoG9,181440,1516831/181440,8.3599592151675495
AoG10,1814400,2587393/259200,9.982226080246912
AoG11,19958400,223179001/19958400,11.182209044813213
AoG12,239500800,2973194071/239500800,12.41413001960745
AoG13,3113510400,46287964867/3113510400,14.866809138328234
AoG14,43589145600,835826439631/43589145600,19.175104905726805
AoG15,653837184000,15722804528341/653837184000,24.046972110324333
AoG16,10461394944000,292673102609791/10461394944000,27.976489194459667
AoG17,177843714048000,739628576047033/25406244864000,29.112077759081497
AoG18,3201186852864000,102538737981192607/3201186852864000,32.031475416517615
AoG19,60822550204416000,2284570602107946601/60822550204416000,37.5612432301807
AoG20,1216451004088320000,52889947305486263431/1216451004088320000,43.478896501158388
AoG21,25545471085854720000,1383094776042177419131/25545471085854720000,54.142465073115751
AoG22,562000363888803840000,35473249250584211527231/562000363888803840000,63.119619718970284
AoG23,12926008369442488320000,50453482530127496575901/760353433496616960000,66.355303083341667
AoG24,310224200866619719680000,3112318457055597389441113/44317742980945674240000,70.227368266333698
AoG25,7755605021665492992000000,635784417194835546472448071/7755605021665492992000000,81.977410584829244
AoG26,201645730563302817792000000,19904777024707624744412879071/201645730563302817792000000,98.711621461575646
AoG27,5444434725209176080384000000,32521391903807184482326665259/286549196063640846336000000,113.4932233297363
AoG28,152444172305856930250752000000,18764546046100828555682054273047/152444172305856930250752000000,123.091265230215
AoG29,4420880996869850977271808000000,580200572936007608549547778688851/4420880996869850977271808000000,131.24093893203897
AoG30,132626429906095529318154240000000,18515776977863183256594835249879711/132626429906095529318154240000000,139.6085002889171
AoG31,4111419327088961408862781440000000,92455725066018772471361148338878723/587345618155565915551825920000000,157.41281148288181
AoG32,131565418466846765083609006080000000,24574469435804129556604149857002079551/131565418466846765083609006080000000,186.78517289858098
AoG33,4341658809405943247759097200640000000,937930580391636534491411569771363415647/4341658809405943247759097200640000000,216.03046705551029
AoG34,147616399519802070423809304821760000000,35336873880561799692194553805512338613631/147616399519802070423809304821760000000,239.38311729261162
AoG35,5166573983193072464833325668761600000000,42983467297411021377410783617625666432071/166663676877195885962365344153600000000,257.90543028210561
