GroupName, GroupOrder, E(G)value, E(G)value_decimal, o(G)value, o(G)value_decimal
PSL2_2,6,12/5,2.3999999999999999,13/6,2.1666666666666665
PSL2_5,60,210/59,3.5593220338983049,211/60,3.5166666666666666
PSL2_7,168,714/167,4.2754491017964069,715/168,4.2559523809523805
PSL2_11,660,3740/659,5.6752655538694992,1247/220,5.668181818181818
PSL2_13,1092,7280/1091,6.672777268560953,2427/364,6.6675824175824179
PSL2_17,2448,19482/2447,7.9615856150388229,19483/2448,7.9587418300653594
PSL2_19,3420,28842/3419,8.4357999415033635,28843/3420,8.4336257309941516
PSL2_23,6072,61732/6071,10.168341294679625,61733/6072,10.166831357048748
PSL2_29,12180,139316/12179,11.439034403481402,46439/4060,11.438177339901479
PSL2_31,14880,181226/14879,12.179985214060085,60409/4960,12.179233870967742
PSL2_37,25308,406334/25307,16.056189986960131,135445/8436,16.055595068752964
PSL2_41,34440,512910/34439,14.893289584482709,73273/4920,14.892886178861788
PSL2_43,39732,663060/39731,16.688731720822531,94723/5676,16.688336856941508
PSL2_47,51888,90804/4717,19.250370998516004,998845/51888,19.250019272278752
PSL2_53,74412,1573782/74411,21.149856875999514,1573783/74412,21.149586088265334
PSL2_59,102660,2395400/102659,23.333560623033538,798467/34220,23.333343074225599
PSL2_61,113460,2760860/113459,24.333547801408439,920287/37820,24.333342147012164
PSL2_67,150348,3877022/150347,25.787159038757007,1292341/50116,25.786994173517439
PSL2_71,178920,4328302/178919,24.191405049212214,618329/25560,24.191275430359937
PSL2_73,194472,5699110/194471,29.305706249260815,5699111/194472,29.305560697683983
