GroupName, GroupOrder, E(G)value, E(G)value_decimal
C_2,2,2,2.
C_4,4,10/3,3.3333333333333335
C_8,8,6,6.
C_16,16,34/3,11.333333333333334
C_32,32,22,22.
C_64,64,130/3,43.333333333333336
C_128,128,86,86.
C_5,5,5,5.
C_25,25,65/3,21.666666666666668
C_125,125,105,105.
C_625,625,1565/3,521.66666666666663
C_3125,3125,2605,2605.
C_15625,15625,39065/3,13021.666666666666
C_78125,78125,65105,65105.
C_7,7,7,7.
C_49,49,175/4,43.75
C_343,343,301,301.
C_2401,2401,8407/4,2101.75
C_16807,16807,14707,14707.
C_117649,117649,411775/4,102943.75
C_823543,823543,720601,720601.
C_11,11,11,11.
C_121,121,671/6,111.83333333333333
C_1331,1331,1221,1221.
C_14641,14641,80531/6,13421.833333333334
C_161051,161051,147631,147631.
C_1771561,1771561,9743591/6,1623931.8333333333
C_19487171,19487171,17863241,17863241.
C_13,13,13,13.
C_169,169,1105/7,157.85714285714286
C_2197,2197,2041,2041.
C_28561,28561,185653/7,26521.857142857141
C_371293,371293,344773,344773.
C_4826809,4826809,31374265/7,4482037.8571428573
C_62748517,62748517,58266481,58266481.
C_17,17,17,17.
C_289,289,2465/9,273.88888888888891
C_4913,4913,4641,4641.
C_83521,83521,709937/9,78881.888888888891
C_1419857,1419857,1340977,1340977.
C_24137569,24137569,205169345/9,22796593.888888888
