GroupName, GroupOrder, AvgElementOrder, isElemAbel2
1, 1, 1, true
C2, 2, 3/2, true
C3, 3, 7/3, true
C4, 4, 11/4, true
C2 x C2, 4, 7/4, true
C5, 5, 21/5, true
S3, 6, 13/6, true
C6, 6, 7/2, true
C4 x C2, 8, 23/8, true
D8, 8, 19/8, true
Q8, 8, 27/8, true
C2 x C2 x C2, 8, 15/8, true
C3 x C3, 9, 25/9, true
D10, 10, 31/10, true
C3 : C4, 12, 15/4, true
A4, 12, 31/12, true
D12, 12, 11/4, true
C6 x C2, 12, 49/12, true
D14, 14, 57/14, true
C4 x C4, 16, 55/16, true
(C4 x C2) : C2, 16, 47/16, true
C4 : C4, 16, 55/16, true
D16, 16, 59/16, true
QD16, 16, 67/16, true
Q16, 16, 75/16, true
C4 x C2 x C2, 16, 47/16, true
C2 x D8, 16, 39/16, true
C2 x Q8, 16, 55/16, true
(C4 x C2) : C2, 16, 47/16, true
C2 x C2 x C2 x C2, 16, 31/16, true
D18, 18, 79/18, true
C3 x S3, 18, 67/18, true
(C3 x C3) : C2, 18, 43/18, true
C6 x C3, 18, 25/6, true
C5 : C4, 20, 71/20, true
D20, 20, 83/20, true
C7 : C3, 21, 85/21, true
SL(2,3), 24, 33/8, true
C4 x S3, 24, 113/24, true
D24, 24, 101/24, true
C2 x (C3 : C4), 24, 97/24, true
(C6 x C2) : C2, 24, 85/24, true
S4, 24, 67/24, true
C2 x A4, 24, 29/8, true
C2 x C2 x S3, 24, 73/24, true
C6 x C2 x C2, 24, 35/8, true
(C3 x C3) : C3, 27, 79/27, true
C3 x C3 x C3, 27, 79/27, true
(C4 x C2) : C4, 32, 111/32, true
(C2 x C2 x C2) : C4, 32, 103/32, true
(C8 x C2) : C2, 32, 135/32, true
Q8 : C4, 32, 151/32, true
(C4 x C4) : C2, 32, 143/32, true
C8 : C4, 32, 151/32, true
C8 : C4, 32, 151/32, true
C4 x C4 x C2, 32, 111/32, true
C2 x ((C4 x C2) : C2), 32, 95/32, true
C2 x (C4 : C4), 32, 111/32, true
(C4 x C4) : C2, 32, 111/32, true
C4 x D8, 32, 103/32, true
C4 x Q8, 32, 119/32, true
(C2 x C2 x C2 x C2) : C2, 32, 87/32, true
(C4 x C2 x C2) : C2, 32, 95/32, true
